"customer_id","age","income","credit_score","card_type","monthly_spend","repayment_rate","interest_flag","channel_preference","default_flag","account_status","annual_fee","cashback_rate","cashback_earned","balance_transfer_flag","transfer_fee","installments_chosen","interest_rate_monthly","interest_due","soft_check_flag","hard_check_flag","hard_check_count","uk_score_band","credit_limit","utilization_rate","approved_flag"
"C0001",48,8518,757,"Standard",1338,0.94,TRUE,"In-store",0,"Active",0,0.005,6.69,TRUE,16.26,4,0.015,20.07,TRUE,FALSE,0,"Very Good",3000,0.45,FALSE
"C0002",32,2205,686,"Standard",1507,0.74,FALSE,"In-store",0,"Closed",0,0.005,7.54,TRUE,73.75,1,0.015,0,FALSE,FALSE,0,"Good",3000,0.5,FALSE
"C0003",68,8826,636,"Platinum",1185,0.34,FALSE,"In-store",0,"Active",195,0.0125,14.81,FALSE,0,5,0.015,35.55,FALSE,FALSE,0,"Fair",10000,0.12,FALSE
"C0004",31,4531,577,"Gold",932,0.33,FALSE,"In-store",0,"Active",25,0.01,9.32,FALSE,0,5,0.015,27.96,FALSE,TRUE,1,"Poor",6000,0.16,FALSE
"C0005",20,6580,549,"Gold",436,0.58,TRUE,"In-store",0,"Active",25,0.01,4.36,FALSE,0,2,0.015,0,TRUE,FALSE,0,"Poor",6000,0.07,FALSE
"C0006",59,2157,402,"Standard",1937,0.95,FALSE,"Online",1,"Dormant",0,0.005,9.69,FALSE,0,4,0.015,29.06,FALSE,FALSE,0,"Poor",3000,0.65,FALSE
"C0007",67,8935,708,"Standard",1803,0.9,FALSE,"Contactless",0,"Active",0,0.005,9.02,FALSE,0,1,0.015,0,TRUE,FALSE,0,"Good",3000,0.6,FALSE
"C0008",71,6763,615,"Gold",850,0.56,FALSE,"In-store",0,"Active",25,0.01,8.5,FALSE,0,3,0.015,0,FALSE,TRUE,3,"Fair",6000,0.14,FALSE
"C0009",60,5608,589,"Standard",1946,0.93,TRUE,"In-store",0,"Active",0,0.005,9.73,FALSE,0,3,0.015,0,TRUE,TRUE,4,"Fair",3000,0.65,FALSE
"C0010",54,6683,750,"Standard",1279,0.44,TRUE,"Contactless",0,"Active",0,0.005,6.4,FALSE,0,4,0.015,19.18,TRUE,TRUE,4,"Very Good",3000,0.43,FALSE
"C0011",69,9682,884,"Standard",670,0.62,FALSE,"Online",0,"Active",0,0.005,3.35,FALSE,0,2,0.015,0,FALSE,FALSE,0,"Excellent",3000,0.22,TRUE
"C0012",31,8122,647,"Gold",1339,0.75,FALSE,"Online",0,"Dormant",25,0.01,13.39,FALSE,0,4,0.015,20.09,TRUE,FALSE,0,"Fair",6000,0.22,FALSE
"C0013",71,9541,669,"Standard",2128,0.7,TRUE,"Contactless",1,"Active",0,0.005,10.64,FALSE,0,1,0.015,0,TRUE,FALSE,0,"Fair",3000,0.71,FALSE
"C0014",42,6953,736,"Gold",1308,0.79,TRUE,"Contactless",0,"Closed",25,0.01,13.08,FALSE,0,3,0.015,0,TRUE,FALSE,0,"Good",6000,0.22,TRUE
"C0015",43,5102,812,"Standard",1129,0.76,TRUE,"In-store",0,"Active",0,0.005,5.65,TRUE,33.42,2,0.015,0,FALSE,FALSE,0,"Excellent",3000,0.38,FALSE
"C0016",44,9501,674,"Standard",796,0.7,FALSE,"In-store",0,"Active",0,0.005,3.98,FALSE,0,5,0.015,23.88,TRUE,FALSE,0,"Good",3000,0.27,TRUE
"C0017",22,7025,643,"Standard",1846,0.32,FALSE,"Contactless",0,"Active",0,0.005,9.23,FALSE,0,1,0.015,0,TRUE,FALSE,0,"Fair",3000,0.62,FALSE
"C0018",68,4147,660,"Gold",1456,0.55,TRUE,"Contactless",0,"Closed",25,0.01,14.56,TRUE,37.38,4,0.015,21.84,TRUE,FALSE,0,"Fair",6000,0.24,TRUE
"C0019",44,4120,668,"Standard",1780,0.47,FALSE,"In-store",1,"Dormant",0,0.005,8.9,FALSE,0,3,0.015,0,FALSE,TRUE,3,"Fair",3000,0.59,FALSE
"C0020",74,1141,686,"Gold",2040,0.91,FALSE,"Contactless",0,"Closed",25,0.01,20.4,FALSE,0,3,0.015,0,TRUE,TRUE,3,"Good",6000,0.34,FALSE
"C0021",45,5062,579,"Standard",1542,0.92,FALSE,"Online",0,"Active",0,0.005,7.71,FALSE,0,2,0.015,0,TRUE,FALSE,0,"Poor",3000,0.51,FALSE
"C0022",74,5592,624,"Gold",872,0.96,TRUE,"In-store",0,"Active",25,0.01,8.72,FALSE,0,5,0.015,26.16,TRUE,FALSE,0,"Fair",6000,0.15,FALSE
"C0023",26,1542,478,"Standard",1673,0.97,FALSE,"Online",0,"Active",0,0.005,8.37,FALSE,0,1,0.015,0,TRUE,FALSE,0,"Poor",3000,0.56,FALSE
"C0024",46,7679,629,"Platinum",1328,0.73,TRUE,"In-store",0,"Active",195,0.0125,16.6,FALSE,0,2,0.015,0,TRUE,FALSE,0,"Fair",10000,0.13,FALSE
"C0025",52,2378,599,"Gold",473,0.62,FALSE,"Contactless",0,"Dormant",25,0.01,4.73,FALSE,0,1,0.015,0,FALSE,TRUE,3,"Fair",6000,0.08,FALSE
"C0026",25,4097,731,"Standard",903,0.83,TRUE,"Online",0,"Active",0,0.005,4.52,FALSE,0,5,0.015,27.09,TRUE,TRUE,3,"Good",3000,0.3,FALSE
